event_id,user_id,event_time,event_type,channel,product_id
42150,6090,2024-01-01 07:00:00,register,app,
76357,10976,2024-01-01 07:00:00,register,app,
10563,1502,2024-01-01 07:00:00,register,app,
67030,9618,2024-01-01 07:00:00,register,app,
73348,10556,2024-01-01 08:00:00,register,app,
42686,6170,2024-01-01 08:00:00,register,app,
20114,2892,2024-01-01 08:00:00,app_visit,app,
67831,9731,2024-01-01 08:00:00,register,app,
46259,6674,2024-01-01 08:00:00,register,app,
42051,6078,2024-01-01 09:00:00,register,app,
28757,4155,2024-01-01 09:00:00,register,app,
4073,594,2024-01-01 10:00:00,register,app,
25747,3713,2024-01-01 11:00:00,register,app,
71886,10322,2024-01-01 11:00:00,register,app,
80812,11638,2024-01-01 12:00:00,register,app,
20112,2892,2024-01-01 12:00:00,register,app,
33139,4795,2024-01-01 13:00:00,register,app,
59880,8613,2024-01-01 14:00:00,register,app,
61645,8856,2024-01-01 15:00:00,register,app,
79444,11437,2024-01-01 15:00:00,register,app,
1127,165,2024-01-01 16:00:00,register,app,
24430,3525,2024-01-01 17:00:00,register,app,
53824,7746,2024-01-01 17:00:00,register,app,
76886,11053,2024-01-01 18:00:00,register,app,
68441,9812,2024-01-01 18:00:00,register,app,
31495,4546,2024-01-01 18:00:00,register,app,
25204,3636,2024-01-01 18:00:00,register,app,
33183,4798,2024-01-01 19:00:00,register,app,
23320,3372,2024-01-01 20:00:00,register,app,
12222,1755,2024-01-01 21:00:00,register,app,
68475,9817,2024-01-01 22:00:00,register,app,
75851,10910,2024-01-01 22:00:00,register,app,
72246,10384,2024-01-02 07:00:00,register,app,
30311,4374,2024-01-02 07:00:00,register,app,
569,81,2024-01-02 08:00:00,register,app,
54070,7779,2024-01-02 08:00:00,register,app,
76304,10969,2024-01-02 08:00:00,register,app,
62763,9026,2024-01-02 09:00:00,register,app,
27717,4001,2024-01-02 09:00:00,register,app,
68619,9839,2024-01-02 09:00:00,register,app,
81817,11783,2024-01-02 09:00:00,register,app,
14665,2129,2024-01-02 09:00:00,register,app,
