feature,coefficient,odds_ratio,p_value
visits_90d,-0.2812903760557457,0.7548091251584296,1.7544136282733654e-13
buys_lifetime,-0.21812601842768226,0.8040241134274884,3.4775056321389615e-07
risk_profile_cautious,-0.13417303023587582,0.8744387471697842,0.10308473894462558
acquisition_channel_organic,-0.10595417530481775,0.8994658648806281,0.264155186891989
acquisition_channel_referral,-0.07672926365037351,0.9261405595816959,0.46919413703023316
city_tier_T2,-0.06466632719067691,0.9373801894816312,0.3531527149418031
city_tier_T3+,-0.0327773538381331,0.9677540023186412,0.6486002421890253
buys_90d,-0.027651278497862256,0.9727275186645158,0.4106915464191735
risk_profile_balanced,-0.027204573525272988,0.9731621379501485,0.7339735530765482
initial_cash_balance,-0.005719424296649361,0.994296900472904,0.8460502060642853
acquisition_channel_social,-0.00020962458001646126,0.9997903973896807,0.9983899863402508
content_views,-0.0001409133908037136,0.9998590965370218,0.9975552306626407
aum,0.003095525390749583,1.0031003214769973,0.9303582920140048
visits_lifetime,0.02785678214688235,1.028248410345737,0.5687972514159985
acquisition_channel_paid_search,0.12723396285792046,1.1356826942699014,0.20899063347856073
days_since_last_visit,0.18924295459735938,1.2083344872424717,9.974250809770041e-07
const,1.1651730558805935,3.2064777350192823,3.217945025883333e-26
